"KEGG","LOK10","EU8","ED10","EOK10","EOI20","EOI15","EN20","EN17"
"K00046",0.000527793849395638,0.00103302124196209,0.00124831780222923,0.00102362385841986,0.00114841924003073,0.000836089678903926,0.00113791740419912,0.00111159689703884
"K00048",7.09651615581428e-05,7.78713741334541e-05,4.45843850689551e-05,6.83312480304528e-05,7.01650131374966e-05,6.831492642087e-05,6.28404297357312e-05,5.77592541571369e-05
"K00050",4.75284534931459e-05,0.000142539571131051,0.000169809403133564,0.000145105488639733,0.000124803988664776,8.77966118700596e-05,0.0001382363313462,0.000136617606297422
"K00052",0.000564942512383958,0.000502926141951265,0.000574159258265026,0.000487147434304291,0.000444512607515619,0.000458507002272572,0.00052135310946889,0.000485566915903634
"K00053",0.000448952163310667,0.000246106137707479,0.000240608813120486,0.000238150512446248,0.000278820955577661,0.000340750408454667,0.000253826381167623,0.000244521065839695
"K00054",0.000298600839300543,3.34681268350831e-05,3.67327452729832e-05,3.00453007680079e-05,4.8832830335875e-05,2.60390477548749e-05,3.65066147020133e-05,2.92751638366675e-05
"K00055",0.000246771262427811,8.96069514322073e-05,9.07822372139468e-05,7.94797399984717e-05,0.000130144233895735,0.000103035077008159,9.94352756120262e-05,0.000102913950083971
"K00057",0.000188659013122419,0.000243491142032801,0.000235133037696462,0.000234536006989735,0.00030760279106282,0.000350179354827017,0.000253307683277953,0.000249492386569535
"K00058",0.00124841095822063,0.00115476491023867,0.00118381238568583,0.0011303676218141,0.00114800741985128,0.00116017825180927,0.00115101684572049,0.00116435161731821
"K00059",0.00584136386824476,0.00677545409949425,0.0072693966026896,0.00668092387303181,0.00740288021258173,0.00581469128665039,0.00706704145397777,0.0070407323032396
"K00060",8.16069571840151e-05,9.91114434026607e-05,0.000101829217653146,9.77653637712905e-05,0.000163313888291638,0.000113876216983351,0.000102414779100794,0.000108791119576385
"K00064",8.25980471853553e-05,9.59642369711675e-05,9.21687299367017e-05,0.000103756010416304,0.000173984796819582,0.000171418936787263,9.95637987370276e-05,0.000121429725095837
"K00065",0.000769067833170862,0.000788651905493934,0.000912390584968629,0.000788040981367799,0.000973928135126244,0.000683071076278688,0.00086723403951389,0.000851251658434304
"K00066",6.36940742966196e-05,4.19565035046452e-05,2.00268451032026e-05,5.15363007545613e-05,4.93226945487397e-05,2.9251813285562e-05,3.46347257367359e-05,4.87561164294599e-05
"K00067",0.00042577276898031,0.000307932944709471,0.000298208067681299,0.000321636274891435,0.000327947576601543,0.000369892892550365,0.000318401493025198,0.000326810084383504
"K00068",5.25480192742277e-05,7.47713841597742e-05,6.96076947889111e-05,7.73600930338782e-05,8.26512687417407e-05,7.38867755540825e-05,7.91502160757978e-05,7.26282161615578e-05
"K00073",6.52428222845219e-06,7.91860984795217e-06,5.85538851468645e-06,6.57870777019317e-06,1.12599105445704e-05,1.90157605223965e-05,8.89379010786906e-06,1.02176236487235e-05
"K00074",0.000597164495108871,0.000597990740619475,0.000626121509412055,0.00056969947369467,0.000580385497417886,0.000508969130393887,0.000581744491241848,0.000562418833686006
"K00075",0.000175575732564566,0.000247606679496849,0.000242328937263405,0.000239248392150577,0.000279667225111405,0.000336706847438428,0.000252564849696051,0.000245015508156835
"K00076",7.20574156100219e-05,9.23259044997796e-05,0.000111882040933777,9.15700257706557e-05,0.000176847683761519,0.000213267629376723,0.000106090374998578,0.000117719294841356
"K00077",0.000173617446303753,0.000464501797709545,0.000501103760679115,0.000470845991194649,0.000328163839200526,0.000341799086472249,0.000469319292463564,0.000451796356675445
"K00082",1.31503812370293e-05,4.75153942694664e-06,3.44344972054443e-06,4.89716045590981e-06,2.03915488889958e-05,1.60542031353794e-05,1.21089085317525e-05,1.50543186315711e-05
