OTU	ED10_S_Wi2013	EN17_S_Wi2013	EN20_S_Wi2013	EOI15_S_Wi2013	EOI20_S_Wi2013	EOK10_S_Wi2013	EOK20_S_Wi2013_PS	EU08_S_Wi2013	LD10_S_Wi2013_PS_A	LN20_S_Wi2013_PS	LOK10_S_Wi2013	EN15_S_Wi2013	EN30_S_Wi2013	EB10_S_Wi2013
SWARM_3753	0	1	0	0	2	1	9	0	4	0	1	0	0	2
SWARM_3756	12	6	2	0	0	3	0	0	0	0	0	0	1	0
SWARM_10150	0	0	0	0	0	0	0	0	0	0	0	14	0	0
SWARM_10152	0	0	0	0	0	0	0	0	0	0	0	6	0	0
SWARM_10154	0	0	0	0	0	0	0	0	0	0	0	8	0	0
SWARM_10157	0	0	0	0	0	0	0	0	0	0	0	6	0	0
SWARM_10159	0	1	0	0	0	0	0	0	0	0	0	7	0	0
SWARM_2573	2	31	0	0	0	1	0	2	0	0	0	0	0	0
SWARM_2576	2	1	0	0	0	3	0	6	0	0	0	36	0	0
SWARM_4804	0	26	0	0	0	1	0	7	0	0	0	0	0	1
SWARM_4806	0	1	0	0	2	0	7	0	0	0	3	0	0	1
SWARM_732	0	1	0	0	5	1	0	0	47	48	18	0	4	2
SWARM_733	0	0	0	0	0	0	5	0	0	22	32	0	5	52
SWARM_730	0	0	1	0	0	0	0	0	52	17	74	0	7	7
SWARM_731	0	0	30	37	56	18	0	14	0	0	0	0	0	0
SWARM_737	0	0	2	0	2	1	0	0	3	19	69	0	8	1
SWARM_739	36	3	30	0	3	2	0	18	0	0	0	0	0	0
SWARM_18846	0	0	0	0	0	0	4	0	0	0	0	0	0	0
SWARM_18842	0	0	0	0	0	0	4	0	0	0	0	0	0	0
SWARM_1060	1	1	0	0	1	1	0	0	0	0	68	0	3	17
SWARM_1062	7	5	10	0	0	61	0	15	0	0	0	0	0	0
SWARM_1063	5	19	57	0	0	0	0	1	0	0	0	0	1	0
SWARM_1064	0	0	3	1	46	1	0	0	2	20	8	0	0	2
SWARM_1066	0	18	0	7	33	0	0	0	0	7	2	0	8	1
SWARM_1068	0	19	20	9	21	5	0	2	0	2	0	1	2	1
SWARM_1069	0	0	18	2	44	7	0	1	0	0	0	0	0	0
SWARM_10459	0	0	0	0	0	0	0	0	0	0	0	0	0	14
SWARM_3033	34	31	22	0	2	18	0	6	0	0	0	0	2	1
SWARM_3034	11	9	6	0	2	12	0	5	0	0	0	4	0	0
SWARM_1308	2	6	8	0	17	0	0	33	0	4	2	0	3	0
SWARM_1301	0	2	2	0	22	3	26	7	15	16	28	1	2	43
SWARM_1300	0	0	0	0	3	0	3	0	0	19	3	0	0	42
SWARM_1303	0	0	0	0	0	0	6	0	99	78	21	0	13	9
