"KEGG"	"ED10"	"EN17"	"EN20"	"EOI15"	"EOI20"	"EOK10"	"EU8"	"LOK10"
"K01750"	190.699	60.398	16.16	115.909	73.519	40.793	70.513	95.184
"K01751"	23.743	15.119	3.032	43.26	18.116	9.031	16.219	32.427
"K01752"	200.407	98.917	39.887	155.308	125.264	83.487	145.397	86.597
"K01753"	29.158	8.357	2.347	3.912	2.111	5.172	7.955	4.291
"K01754"	625.239	291.967	64.453	291.264	276.407	195.53	324.496	348.715
"K01755"	389.743	252.237	60.396	249.611	209.396	149.364	251.249	192.521
"K01756"	391.904	280.272	69.551	280.853	237.847	167.091	276.883	210.603
"K01757"	8.946	0.936	0.297	2.978	1.555	0.52	2.216	3.38
"K01758"	27.081	13.569	2.061	10.842	12.517	9.072	13.261	25.783
"K01759"	444.556	162.543	43.343	160.068	128.107	112.059	183.768	231.618
"K01760"	131.61	73.027	14.416	39.24	42.392	36.599	70	47.706
"K01761"	80.231	65.574	17.162	90.357	62.557	40.389	71.609	81.097
"K01762"	0.551	0.205	0.108	0.401	0.774	0.151	0.882	1.939
"K01766"	4.35	1.504	1.226	2.299	1.176	1.056	3.241	2.072
"K01768"	1396.677	991.888	271.202	1542.465	1209.752	753.304	1072.491	2257.606
"K01769"	4.774	4.377	1.085	5.29	4.259	2.042	4.603	4.207
"K01770"	111.526	61.241	26.794	102.164	57.88	46.451	70.158	50.311
"K01771"	0.14	0.981	0.145	0.619	0.436	0.631	0.826	1.207
"K01772"	251.319	193.928	34.19	168.584	116.779	77.611	148.101	112.775
"K01775"	327.144	247.202	62.134	260.252	166.017	127.062	220.425	173.724
"K01776"	169.762	133.938	31.439	117.01	68.854	61.498	96.982	56.097
"K01777"	67.837	34.865	13.837	103.569	55.384	26.091	37.666	73.742
"K01778"	233.383	179.503	42.954	206.855	141.674	103.989	159.563	137.436
"K01779"	88.409	69.013	24.759	123.231	70.404	37.177	59.671	78.089
"K01781"	38.846	16.724	3.261	7.053	8.985	13.345	14.561	23.918
"K01782"	320.055	125.829	20.885	121.511	136.639	67.142	149.582	135.822
"K01783"	277.394	185.241	47.443	196.839	152.288	106.102	183.587	135.194
"K01784"	671.86	418.761	111.983	530.917	340.125	242.924	396.025	440.986
"K01785"	168.793	91.259	40.595	62.99	74.057	55.497	99.854	59.275
"K01787"	3.523	8.209	2.272	16.172	15.071	7.18	10.522	15.367
"K01788"	2.869	1.716	0.812	2.826	0.675	0.967	1.078	2.106
"K01790"	175.396	156.548	41.534	161.958	109.022	87.713	139.904	114.003
"K01791"	151.676	153.333	40.981	154.014	121.991	85.001	141.811	137.866
"K01792"	84.26	35.748	6.6	30.826	24.344	19.277	39.833	12.314
"K01793"	0.421	1.499	0.344	0.353	0.668	0.3	0.223	0.358
"K01795"	0.518	0.397	0	0	0.136	0.238	0.27	1.073
"K01796"	168.587	36.193	10.5	55.184	48.249	39.528	65.389	90.355
"K01799"	46.923	26.034	5.21	13.144	21.868	15.044	26.428	69.439
"K01800"	22.141	3.169	0.489	0.642	1.81	1.077	5.113	2.18
"K01801"	21.306	6.18	1.079	0	1.206	2.858	7.287	1.761
"K01802"	174.801	126.277	35.089	92.27	59.82	58.585	89.156	55.919
"K01803"	231.521	222.052	59.868	248.713	160.306	120.413	190.976	142.937
"K01804"	42.441	53.487	26.048	81.149	52.893	46.793	62.612	14.226
"K01805"	190.206	72.343	32.375	153.734	100.313	74.664	107.034	75.63
"K01807"	109.012	61.834	8.911	68.561	72.651	39.456	74.502	70.054
"K01808"	119.439	117.753	50.12	160.046	76.576	57.666	84.618	77.093
"K01809"	57.742	68.132	28.737	78.54	53.128	39.216	63.564	47.871
"K01810"	322.181	256.78	63.363	276.967	225.292	160.104	252.105	173.609
"K01811"	28.509	56.873	23.75	70.307	51.21	47.097	66.234	8.828
"K01812"	43.681	62.334	22.858	75.551	65.992	45.359	72.959	23.855
"K01813"	9.915	17.654	8.657	44.694	24.154	19.402	26.884	9.291
"K01814"	213.709	172.375	41.668	165.736	132.612	91.478	156.135	132.455
"K01815"	15.22	38.027	18.303	43.531	32.688	22.712	46.538	5.033
"K01816"	85.486	47.679	14.939	53.457	52.537	41.462	61.054	49.725
"K01817"	164.914	136.48	34.023	163.318	105.409	69.658	116.826	104.187
"K01818"	10.818	24.358	12.837	82.215	42.409	24.255	32.438	11.8
"K01819"	2.352	0.314	0.082	0.625	0.147	0.334	0.461	0.194
"K01820"	71.471	16.141	5.138	18.157	15.093	13.575	24.423	7.808
"K01821"	106.932	83.569	18.492	56.395	31.997	29.369	43.262	34.143
"K01822"	58.348	14.954	2.314	20.013	8.006	10.948	20.651	23.009
"K01823"	44.076	65.078	18.05	46.417	38.787	28.822	52.249	58.508
"K01825"	12.713	16.926	3.74	19.229	31.101	11.002	35.139	15.23
"K01826"	66.211	29.167	6.519	18.714	19.116	16.805	29.633	19.45
"K01829"	83.646	25.648	18.371	16.245	19.066	18.575	32.866	30.307
"K01833"	1.746	0.447	0.088	0	0.062	0.048	0.461	0
"K01834"	180.142	59.563	13.923	77.771	42.236	42.22	65.473	67.917
"K01835"	228.883	159.61	53.86	210.928	143.517	113.965	175.181	76.508
"K01836"	2.626	0.236	0.059	0	0.152	0.04	0.022	0.264
"K01838"	43.353	42.721	17.73	35.538	20.005	22.571	33.397	13.565
"K01839"	70.908	41.765	17.63	44.821	37.283	25.995	38.781	40.757
"K01840"	284.401	145.182	42.552	148.939	116.374	93.954	160.975	117.192
"K01841"	6.017	10.946	6.18	22.359	21.5	10.815	15.203	32.758
"K01843"	115.899	206.968	63.062	191.249	120.603	114.384	122.203	68.177
"K01844"	40.593	15.972	8.928	9.259	3.572	6.309	7.66	0.759
"K01845"	617.9	331.95	77.292	393.924	312.374	222.127	352.17	391.489
"K01846"	0.86	4.556	4.594	6.898	4.314	1.563	4.143	3.946
"K01847"	389.081	245.821	93.736	259.232	223.632	180.084	299.418	169.751
"K01848"	267.89	118.363	19.774	219.71	131.3	94.371	122.556	196.821
"K01849"	79.237	39.895	6.973	83.443	36.248	28.24	31.82	69.65
"K01852"	0.082	0.301	0.146	0	0.927	0.939	0.939	0.835
"K01854"	110.303	43.666	13.49	49.809	42.048	34.323	46.12	55.308
"K01855"	0.057	0.211	0.059	0.546	1.132	0.333	0.165	1.049
"K01856"	13.832	8.604	2.28	16.357	12.05	7.724	12.498	28.488
"K01857"	72.662	21.533	4.422	2.318	7.098	14.231	25.604	14.804
"K01858"	171.474	65.786	14.203	99.618	62.221	49.286	59.66	93.713
"K01859"	0.053	0	0	0	0	0.075	0	0
"K01865"	3.77	0.842	0.684	2.054	1.74	2.394	2.282	2.686
"K01866"	265.239	256.125	72.309	239.697	225.678	150.305	256.906	190.114
"K01867"	314.892	244.276	57.771	231.112	201.885	145.193	237.626	180.897
"K01868"	477.543	374.349	89.913	434.44	342.412	227.575	369.384	287.89
"K01869"	675.989	446.341	115.389	563.843	448.807	320.436	510.387	379.528
"K01870"	663.793	481.788	129.687	561.777	466.379	326.268	534.368	402.591
"K01872"	602.657	444.108	107.155	487.266	418.031	299.681	460.628	367.05
"K01873"	621.988	433.582	117.14	541.397	447.324	310.215	491.914	360.411
"K01874"	435.28	352.393	96.73	404.382	317.06	227.001	359.955	264.968
"K01875"	346.978	278.551	68.281	301.689	225.772	164.926	256.427	201.228
"K01876"	476.796	371.385	93.701	359.221	321.591	219.889	382.564	277.187
"K01878"	227.446	158.915	29.834	184.731	130.059	85.289	140.419	105.604
"K01879"	322.196	235.846	44.587	224.734	195.457	126.805	215.312	147.919
"K01880"	146.652	114.87	41.338	96.445	108.926	95.059	138.497	117.109
"K01881"	420.94	298.878	86.357	361.277	290.155	208.351	322	255.136
"K01883"	343.953	339.142	88.172	387.035	280.482	177.501	292.632	233.059
"K01884"	7.301	6.444	2.2	10.687	4.662	2.726	5.676	2.128
"K01885"	381.532	292.377	70.442	300.313	234.684	162.102	275.006	216.954
"K01886"	259.901	253.929	69.515	369.991	269.183	180.143	273.191	227.281
"K01887"	395.166	319.789	75.746	326.832	270.72	184.163	299.4	238.794
"K01889"	307.538	225.903	67.616	310.197	209.748	143.577	231.435	181.564
"K01890"	415.738	375.012	99.41	367.278	326.548	202.21	345.743	271.855
"K01892"	316.993	255.379	64.838	258.944	207.475	137.784	228.83	175.735
"K01893"	100.083	156.674	54.506	192.7	158.372	113.753	157.902	136.828
"K01894"	121.725	52.815	11.924	44.588	48.733	37.716	59.836	49.154
"K01895"	952.918	496.826	112.392	693.168	494.403	328.318	545.998	519.815
"K01896"	0.397	0.461	0.203	0.729	0.658	0.14	0.411	1.447
"K01897"	1429.87	897.912	284.992	1218.596	808.002	580.511	960.651	771.564
"K01902"	363.462	216.07	59.31	311.813	197.698	148.161	238.791	215.26
"K01903"	369.161	252.835	66.323	313.927	243.302	172.929	280.137	242.208
"K01904"	23.068	6.073	0.7	2.61	3.802	2.474	5.697	10.421
"K01905"	7.932	7.876	2.966	12.481	8.15	4.407	5.854	7.432
"K01906"	0.78	6.847	3.531	2.146	2.17	4.52	3.181	1.389
"K01907"	187.429	98.246	27.447	132.163	126.054	79.669	129.343	161.826
"K01908"	231.568	108.724	28.41	146.16	123.394	77.791	136.173	142.43
"K01909"	0.622	2.337	1.367	0.876	1.302	0.954	1.845	0.606
"K01910"	1.063	8.184	5.654	3.05	2.024	2.22	2.481	0.796
"K01911"	79.669	39.326	9.164	42.835	23.579	17.997	40.155	24.379
"K01912"	388.316	329.621	87.742	318.743	228.807	182.509	263.16	233.068
"K01914"	7.11	25.87	9.106	68.482	58.409	21.251	32.06	74.245
"K01915"	1112.843	593.031	163.753	610.452	586.836	401.347	664.738	617.165
"K01916"	144.245	101.968	24.362	118.512	73.801	49.199	89.49	54.93
"K01917"	0.657	0	0	0	0	0	0	0
"K01918"	194.802	159.486	37.817	159.831	113.157	82.14	138.567	91.994
"K01919"	275.778	130.681	30.842	98.491	105.587	75.404	146.152	104.352
"K01920"	184.59	101.921	27.928	123.605	109.228	79.851	136.676	111.944
"K01921"	387.467	360.657	83.392	289.24	218.787	202.284	298.504	228.698
"K01923"	302.621	194.387	49.577	186.813	161.089	117.787	198.001	154.488
"K01924"	380.668	245.791	57.044	281.695	205.401	151.439	260.055	186.67
"K01925"	316.107	231.727	54.819	236.738	176.568	130.113	224.537	149.951
"K01926"	61.737	40.516	18.47	61.193	37.705	25.466	32.608	27.356
"K01928"	328.466	221.879	47.163	210.245	158.667	121.176	200.115	148.846
"K01929"	270.045	210.115	49.391	208.351	158.53	105.917	191.437	141.932
"K01932"	5.785	11.207	1.33	13.594	9.911	4.504	7.423	19.243
"K01933"	291.54	204.932	55.401	206.876	166.354	126.391	204.431	153.834
"K01934"	149.694	101.682	26.128	97.223	54.983	43.889	80.377	65.422
"K01935"	52.286	79.093	11.116	69.903	47.887	29.136	55.036	45.949
"K01937"	454.262	307.074	86.351	384.321	280.094	217.336	339.707	257.21
"K01938"	250.26	168.187	47.02	204.119	173.926	104.936	168.352	179.864
"K01939"	366.278	257.122	65.687	311.905	236.092	159.884	264.731	211.777
"K01940"	405.991	282.518	63.39	325.67	238.858	173.697	271.023	204.753
"K01941"	65.896	44.739	5.814	12.073	19.009	19.814	44.468	8.599
"K01942"	0.151	0.341	0.072	0.368	0.123	0	0.188	0.322
"K01945"	331.302	240.626	60.943	241.235	202.733	152.274	244.278	186.797
"K01949"	1.025	0.788	0.091	0	1.106	0.878	0.539	3.946
"K01950"	263.471	182.564	51.029	224.146	159.213	112.058	182.167	149.618
"K01951"	590.872	387.304	96.275	564.327	395.134	256.81	408.453	395.927
"K01952"	921.112	594.898	149.82	635.352	540.927	382.81	601.16	490.014
"K01953"	463.73	523.401	124.913	508.053	500.033	299.405	471.631	645.936
"K01955"	887.476	601.535	155.158	768.481	673.798	425.337	685.706	533.063
"K01956"	323.302	217.786	47.395	265.553	181.329	136.772	211.163	181.078
"K01958"	218.421	96.023	30.003	61.344	70.632	72.014	109.696	67.755
"K01959"	9.885	45.928	2.614	25.378	20.938	9.455	19.762	8.286
"K01960"	16.93	84.897	24.535	123.076	79.23	44.019	65.899	39.416
"K01961"	366.408	199.369	53.689	229.749	207.65	151.541	252.601	179.435
"K01962"	226.348	141.634	40.822	146.887	124.8	92.147	158.638	118.85
"K01963"	229.263	131.327	33.147	117.465	118.527	80.565	147.092	111.573
"K01965"	269.045	81.385	14.858	42.471	57.484	59.812	109.647	66.293
"K01966"	443.753	222.358	69.225	250.368	198.652	178.373	263.299	209.106
"K01968"	260.113	48.286	12.819	28.466	32.093	54.686	98.04	42.661
"K01969"	363.752	116.23	41.602	108.769	107.313	110.619	182.056	152.029
"K01971"	455.291	109.92	23.301	47.079	37.035	82.254	101.343	130.378
"K01972"	425.416	331.655	88.559	306.384	286.037	185.645	319.11	255.311
"K01974"	11.555	22.02	2.924	24.253	12.979	7.079	9.758	40.908
"K01975"	97.685	86.437	19.334	117.716	55.664	36.195	49.681	73.919
"K01988"	0.19	0.141	0.086	0.427	0.144	0.034	0.633	0.105
"K01989"	382.22	161.078	65.381	78.26	114.767	248.804	276.625	55.682
"K01990"	1710.059	911.1	244.055	1373.865	836.45	617.845	924.521	955.189
"K01991"	220.23	209.756	50.73	164.358	155.844	101.151	189.454	163.173
"K01992"	1265.809	882.897	242.251	1159.25	683.21	492.25	781.407	749.665
"K01993"	125.348	122.346	36.315	138.773	70.389	71.727	103.792	57.134
"K01994"	3.436	0.814	0.218	0.941	0.899	0.429	1.396	1.751
"K01995"	1088.2	445.322	128.001	554.266	321.113	337.703	491.873	345.857
"K01996"	1192.817	479.775	145.187	593.317	347.068	365.548	538.451	388.096
"K01997"	1161.475	628.335	175.704	624.129	397.124	417.616	620.257	424.972
"K01998"	1063.596	564.08	150.868	560.767	354.086	369.455	550.091	381.193
"K01999"	1693.491	907.61	239.242	836.128	542.872	580.288	861.048	593.941
"K02000"	114.172	54.982	16.833	50.605	39.427	21.243	41.417	79.833
"K02001"	115.803	60.437	13.17	47.006	40.162	22.161	40.919	95.543
"K02002"	104.139	66.518	19.451	43.403	42.002	24.631	45.984	85.831
"K02003"	1265.857	733.477	193.965	1192.198	684.226	473.244	721.041	716.564
"K02004"	2612.472	1960.005	622.239	2514.006	1898.395	1276.704	1825.123	1649.017
"K02005"	644.917	419.312	110.094	425.897	312.691	232.741	383.595	332.078
"K02006"	40.367	53.745	11.166	69.393	31.155	24.071	25.499	18.767
"K02007"	38.477	62.147	16.364	71.901	31.39	25.608	31.513	18.892
"K02008"	32.45	52.412	10.244	73.604	30.186	22.821	28.749	29.744
"K02009"	4.328	36.544	7.99	33.857	14.788	12.052	13.815	6.532
"K02010"	274.78	91.39	25.156	86.997	60.414	66.174	112.248	84.889
"K02011"	380.846	200.563	47.487	177.504	135.607	126.397	196.737	210.659
"K02012"	330.167	156.643	35.806	114.174	99.036	98.682	146.938	159.359
"K02013"	224.984	146.618	35.837	164.097	91.331	62.052	107.672	97.728
"K02014"	1312.729	1253.603	331.595	1037.172	1238.928	740.872	1309.898	1118.772
"K02015"	218.09	167.636	38.412	186.741	111.298	81.2	137.532	112.557
"K02016"	284.447	198.779	45.615	158.959	102.971	94.883	147.106	143.302
"K02017"	155.742	105.895	15.828	88.474	55.701	38.526	82.312	66.323
"K02018"	160.546	102.493	17.708	109.865	59.828	43.872	84.649	76.328
"K02019"	81.495	69.151	11.829	50.936	17.278	26.984	42.332	17.263
"K02020"	182.004	139.082	22.247	89.7	55.775	46.094	93.397	65.239
"K02021"	77.457	53.075	8.608	54.428	42.798	28.144	37.508	84.78
"K02022"	93.221	42.392	10.97	12.459	19.141	17.938	35.175	22.467
"K02024"	5.144	6.023	3.03	8.945	7.473	4.634	8.345	2.189
"K02025"	397.292	170.743	64.217	211.315	105.927	99.321	153.087	128.772
"K02026"	417.224	171.048	73.085	201.791	105.635	104.22	156.624	132.748
"K02027"	508.561	222.513	58.246	290.477	152.908	128.666	201.469	191.651
"K02028"	152.962	51.512	26.754	74.798	39.286	34.873	58.527	51.399
"K02029"	291.362	163.645	64.602	209.996	106.136	82.243	131.808	135.256
"K02030"	406.095	459.463	173.492	556.19	355.415	224.815	383.135	373.835
"K02031"	378.605	102.726	29.634	176.64	75.2	84.957	122.59	102.826
"K02032"	245.59	61.164	16.511	126.089	47.861	50.172	78.507	69.811
"K02033"	796.01	425.338	99.039	712.784	360.258	273.051	402.314	516.31
"K02034"	783.237	357.89	87.452	655.2	316.495	254.678	371.761	462.169
"K02035"	1337.239	654.771	151.446	962.212	537.985	441.627	682.847	839.699
"K02036"	316.006	212.82	49.751	323.043	211.751	148.89	224.463	210.661
"K02037"	252.473	240.583	53.181	294.586	202.035	127.688	204.693	180.512
"K02038"	239.77	221.261	51.332	254.773	185.479	125.194	198.845	167.331
"K02039"	223.899	193.912	43.531	185.964	131.951	95.897	155.944	125.838
"K02040"	293.899	322.399	71.674	300.559	231.249	152.193	250.009	221.624
"K02041"	105.58	35.493	14.849	62.312	33.846	21.592	42.505	63.913
"K02042"	159.932	64.171	28.07	69.892	52.739	40.745	72.073	103.44
"K02043"	20.705	5.316	0.587	0.967	0.913	0.884	4.013	1.035
"K02044"	156.975	192.871	36.503	129.62	127.305	58.229	105.03	169.885
"K02045"	96.727	19.528	7.488	3.481	4.15	32.018	37.907	0.067
"K02046"	69.011	21.96	5.49	2.527	3.683	22.716	29.643	0.071
"K02047"	74.974	21.676	8.045	3.875	2.787	23.698	27.421	0.156
"K02048"	90.09	27.005	7.134	4.81	4.005	35.64	49.233	0.044
"K02049"	421.791	144.242	35.851	91.865	67.068	102.178	152.731	101.306
"K02050"	480.257	206.965	48.192	110.217	89.273	125.526	189.902	124.123
"K02051"	570.894	314.361	74.758	160.13	130.162	181.742	272.575	176.199
"K02052"	253.062	40.804	7.627	34.76	29.795	34.341	71.902	65.294
"K02053"	249.805	62.617	11.907	37.742	32.624	38.54	70.595	68.226
"K02054"	242.17	59.522	9.576	29.188	30.225	35.929	69.386	66.984
"K02055"	304.508	94.62	15.731	48.907	44.811	48.145	94.347	117.469
"K02056"	559.601	195.241	63.142	331.989	154.284	132.235	223.985	187.842
"K02057"	748.294	286.262	96.865	498.406	212.99	174.215	292.931	270.614
"K02058"	271.348	103.064	24.992	149.061	69.134	56.778	110.234	74.06
"K02062"	40.095	8.031	1.327	11.585	3.781	2.219	6.313	8.941
"K02063"	97.752	31.372	6.337	52.693	21.189	13.153	30.914	22.352
"K02064"	77.967	26.775	5.934	49.185	17.702	11.034	24.573	17.512
"K02065"	310.57	264.093	58.876	241.783	208.445	160.794	247.268	276.467
"K02066"	341.075	291.447	63.357	264.43	204.25	158.068	251.4	267.697
"K02067"	299.203	233.061	48.082	166.867	125.966	111.349	189.959	146.912
"K02068"	4.019	13.269	5.793	20.975	9.545	5.702	7.254	11.432
"K02069"	17.562	56.648	12.73	121.579	68.945	20.812	37.47	74.561
"K02071"	4.072	20.285	4.983	18.62	5.673	5.99	11.557	1.145
"K02072"	1.742	3.179	3.249	4.882	0.753	2.409	5.634	0
"K02073"	2.013	4.299	3.719	0.769	0.447	2.064	9.235	0.286
"K02074"	31.719	5.957	1.187	3.145	1.723	3.688	11.268	1.502
"K02075"	60.053	50.791	8.271	69.643	33.411	21.405	39.799	37.934
"K02077"	70.391	60.744	8.267	76.055	39.708	26.271	42.697	54.642
"K02078"	356.335	349.952	103.005	345.191	238.223	173.809	278.512	263.2
"K02079"	0.163	0.369	0.256	0.155	0.138	0.041	0.076	0.436
"K02080"	0.52	2.721	0.959	4.57	2.395	1.95	2.579	0.392
"K02081"	21.087	15.921	3.373	15.986	10.648	5.712	9.41	6.292
"K02082"	12.002	7.513	1.374	1.784	3.555	1.953	5.032	0.564
"K02083"	13.744	5.753	2.03	2.188	2.672	4.692	6.114	4.591
"K02084"	0.093	0.176	0.045	0.97	0.669	0.417	0.193	1.125
"K02093"	0.232	0.221	0	0	0	0.054	0	0
"K02095"	0.114	0.441	0	0	0	0	0	0
"K02096"	0.02	0.793	0	0	0	0.044	0	0
"K02099"	12.838	4.413	1.676	3.776	2.952	2.338	5.771	4.714
"K02100"	4.106	10.167	2.699	9.92	11.711	7.44	8.411	6.298
"K02101"	1.44	0.852	0.052	0.243	0.108	0.325	0.633	0.117
"K02106"	25.628	16.415	3.575	15.525	15.051	11.955	19.834	31.445
"K02107"	0.108	0.465	0	0	0.845	0.371	0.074	6.716
"K02108"	232.437	232.218	56.313	237.928	172.306	117.997	197.17	151.105
"K02109"	228.322	233.401	61.699	235.621	139.647	99.784	163.624	117.976
"K02110"	219.516	218.072	58.019	247.043	139.177	106.168	163.398	124.241
"K02111"	520.215	399.155	97.875	431.591	341.792	245.231	390.934	272.786
"K02112"	478.429	359.94	95.879	444.375	318.729	231.728	379.598	248.532
"K02113"	193.817	179.94	52.978	165.9	111.725	73.377	143.284	98.054
"K02114"	178.113	183.947	45.669	176.34	101.551	79.04	137.368	96.071
"K02115"	317.788	262.675	63.386	251.993	198.519	152.413	253.09	174.444
"K02116"	101.173	70.201	18.087	76.386	36.507	29.849	51.968	46.195
"K02117"	65.701	71.761	26.495	120.146	90.483	52.808	68.302	120.086
"K02118"	62.746	64.909	26.109	113.836	83.372	44.942	63.9	104.696
"K02119"	5.375	8.398	3.3	27.045	10.605	5.189	6.066	14.75
"K02120"	28.59	35.186	17.334	65.382	37.338	23.514	31.657	55.512
"K02121"	3.379	15.331	9.415	30.737	15.766	9.811	13.78	38.407
"K02122"	3.664	12.93	5.128	12.198	7.052	6.912	5.121	11.053
"K02123"	45.362	53.08	20.181	97.11	61.837	32.794	47.813	99.352
"K02124"	28.763	28.536	12.839	62.494	33.288	21.749	28.77	61.128
"K02128"	0.266	0.104	0	0	0	0	0.206	0.018
"K02132"	0.126	0	0.12	0	0.193	0	0.084	0
"K02145"	0.272	0.335	0	0	0.202	0	0.252	0.257
"K02160"	177.112	111.281	27.365	92.855	92.259	62.481	120.608	99.199
"K02164"	26.11	19.804	4.006	25.774	14.197	8.341	22.668	2.847
"K02167"	56.287	14.449	4.073	12.77	13.374	6.394	20.033	29.737
"K02168"	13.199	6.29	1.244	17.889	16.299	5.303	12.173	30.253
"K02169"	104.651	102.451	19.286	110.839	65.257	41	72.554	59.613
"K02170"	46.411	39.154	9.238	42.107	36.215	22.471	36.805	23.556
"K02171"	24.09	19.092	10.328	24.856	16.159	12.998	21.583	16.903
"K02172"	10.106	10.734	3.881	17.215	15.815	7.588	10.393	14.321
"K02173"	12.34	0.999	0.373	0.807	0.152	0.131	0.853	0.611
"K02182"	101.299	31.243	10.749	49.238	46.042	24.601	42.559	80.821
"K02183"	2.181	0.392	0.143	0	0.741	0.39	0.263	0.793
"K02188"	15.41	34.035	5.98	19.592	19.588	12.798	17.667	30.666
"K02189"	20.94	27.952	5.732	19.536	12.779	9.058	14.057	15.091
"K02190"	1.915	39.263	6.46	33.951	17.477	10.428	11.955	7.78
"K02191"	0.112	3.447	0.396	2.158	2.242	0.877	1.198	10.625
"K02192"	28.972	12.183	8.32	6.223	10.849	9.591	16.622	14.633
"K02193"	102.624	50.319	7.06	75.579	51.249	25.214	50.709	48.393
"K02194"	138.328	69.16	10.481	98.605	74.568	39.545	72.33	86.485
"K02195"	189.952	122.979	24.535	156.177	105.708	62.648	106.262	105.422
"K02196"	74.56	29.689	3.376	45.362	24.294	13.88	29.522	28.249
"K02197"	123.277	55.231	12.639	85.28	65.59	37.793	67.135	77.275
"K02198"	348.441	173.665	35.133	203.738	187.878	111.898	194.512	214.966
"K02199"	286.046	130.396	28.167	199.891	114.712	63.941	121.632	138.027
"K02200"	248.059	107.804	15.011	117.936	98.267	53.895	106.483	108.837
"K02203"	38.367	21.516	11.128	39.843	25.498	20.622	31.28	31.704
"K02204"	108.062	44.206	8.214	56.527	35.057	27.013	52.697	35.822
"K02206"	0.089	0	0	0	0.025	0.181	0	0.117
"K02213"	0.177	0	0	0	0.084	0.049	0.079	0.03
"K02216"	0.115	0.038	0	0	0.018	0	0.036	0.025
"K02217"	22.826	85.044	32.204	112.991	53.759	41.042	55.551	36.81
"K02221"	111.523	90.206	25.56	117.174	59.381	40.595	63.362	60.442
"K02224"	117.68	131.546	18.99	136.332	105.433	46.643	78.334	88.341
"K02225"	13.659	4.257	0.854	0.459	3.214	5.655	9.463	2.13
"K02226"	53.735	58.781	11.437	61.02	39.361	22.508	43.168	26.109
"K02227"	117.032	68.472	13.745	34.589	19.91	29.874	48.951	29.237
"K02228"	18.97	1.694	0.479	1.033	0.64	1.064	3.39	0.091
"K02229"	20.277	3.399	0.749	2.038	0.779	0.97	3.769	0.568
"K02230"	66.722	30.058	4.462	10.441	24.632	18.549	41.772	39.08
"K02231"	61.867	51.241	11.203	27.469	23.122	18.758	36.082	21.569
"K02232"	93.087	88.194	17.318	50.418	45.876	35.407	72.881	52.127
"K02233"	72.285	53.937	11.367	31.327	23.401	24.46	39.464	29.266
"K02234"	135.459	54.434	15.683	83.344	38.864	31.937	59.288	54.803
"K02237"	97.678	107.872	33.446	129.405	61.734	43.81	73.127	82.405
"K02238"	277.275	229.203	58.759	252.253	155.044	105.584	190.568	160.138
"K02239"	0.056	0.054	0	0	0	0.033	0	0
"K02240"	0.074	0.05	0.466	0	0.058	0.245	0.198	0
"K02241"	1.634	1.887	0.885	3.528	1.479	0.728	1.005	0.391
"K02242"	36.45	43.216	7.473	61.976	20.808	13.372	28.439	23.878
"K02257"	288.792	145.054	29.485	155.446	130.328	88.533	148.108	161.409
"K02258"	100.866	47.024	7.725	36.42	46.348	25.126	52.142	42.232
"K02259"	209.639	105.79	15.874	83.56	83.985	48.927	106.71	102.054
"K02274"	609.771	362.075	86.518	387.142	395.395	242.969	392.888	475.004
"K02275"	350.055	227.541	51.834	255.983	224.518	131.887	228.858	290.731
"K02276"	256.365	176.297	42.683	175.872	158.235	114.573	198.001	179.833
"K02277"	31.707	39.445	14.774	57.341	24.396	21.065	24.654	31.254
"K02278"	51.743	12.316	4.082	7.214	8.907	8.301	11.938	24.984
"K02279"	98.043	29.07	9.066	25.836	19.382	16.684	27.789	38.29
"K02280"	107.959	38.232	11.761	19.529	28.67	26.211	37.821	57.92
"K02281"	25.734	5.612	0.475	0	1.209	1.845	2.713	2.695
"K02282"	170.974	48.787	12.565	59.608	27.256	29.833	43.541	55.259
"K02283"	406.932	106.382	31.458	170.919	91.649	74.147	109.263	145.306
"K02284"	0.104	0.458	0	0	0	0	0	0
"K02288"	0.584	0.494	0.311	1.381	0.644	0.431	0.49	1.012
"K02289"	0.129	0.436	0	1.13	0.072	0.09	0.135	1.11
"K02291"	244.615	89.492	12.662	35.045	42.883	54.442	97.163	55.538
"K02292"	172.729	55.37	12.433	87.954	79.026	49.425	61.902	181.822
"K02293"	1.802	0.596	0	1.298	1.097	0.889	0.209	0.885
"K02294"	4.753	2.643	0.936	3.693	7.15	1.024	4.189	21.041
"K02297"	4.293	4.354	0.684	0	1.036	2.551	3.259	0.335
"K02298"	11.042	10.11	2.209	2.504	3.014	7.785	10.377	0.965
"K02299"	20.488	6.622	0.979	4.739	3.892	4.853	8.245	5.669
"K02300"	3.681	2.571	0.598	0.425	0.583	1.992	3.339	0.448
"K02302"	99.133	56.25	6.121	66.257	63.754	21.171	56.329	43.611
"K02303"	140.196	35.609	9.89	7.116	12.509	23.935	49.654	19.129
"K02304"	13.547	44.601	12.989	40.97	19.063	15.911	26.773	19.894
"K02305"	38.775	35.54	5.636	34.45	19.2	13.387	31.187	15.752
"K02313"	343.798	294.749	80.777	317.458	239.291	169.228	280.956	199.865
"K02314"	399.134	307.747	86.006	330.594	262.378	184.312	303.507	221.102
"K02315"	138.718	57.589	14.713	177.468	42.774	41.867	68.406	65.988
"K02316"	374.396	298.334	79.391	321.313	229.609	151.326	265.082	202.851
