"KEGG"	"ED10"	"EN17"	"EN20"	"EOI15"	"EOI20"	"EOK10"	"EU8"	"LOK10"
"K13582"	32.16	12.201	1.423	3.808	4.614	4.09	6.508	8.546
"K13583"	62.579	9.195	2.113	2.064	4.482	5.815	11.227	7.814
"K13584"	61.889	18.925	4.312	5.164	9.166	12.692	19.488	21.662
"K13585"	0.407	0.281	0.191	0	0	0.135	0.082	0
"K13586"	0.181	0.219	0.242	0	0	0.052	0.101	0
"K13587"	393.004	546.644	156.131	459.079	339.399	216.845	296.242	327.471
"K13588"	41.383	7.821	0.829	0.393	2.408	4.92	6.534	5.635
"K13589"	33.619	12.414	1.983	1.237	3.969	5.602	7.242	10.628
"K13590"	115.61	131.587	16.221	63.419	61.707	33.273	84.935	55.791
"K13591"	0.423	0.121	0.055	0	0.045	0.294	0.24	0
"K13592"	24.757	5.971	1.206	0	1.181	2.109	4.039	3.113
"K13593"	12.463	6.175	0.989	0	1.468	2.448	3.874	4.562
"K13598"	217.498	167.572	44.777	164.109	122.141	89.917	125.05	135.521
"K13599"	208.02	143.946	31.011	155.988	104.896	90.753	124.546	132.844
"K13600"	1.358	0.364	0.324	0.754	0.387	0.205	0.596	1.817
"K13601"	12.226	27.283	5.324	28.801	17.431	12.032	14.196	36.084
"K13602"	9.111	11.879	3.905	13.484	7.498	4.533	6.524	13.796
"K13606"	0.646	2.921	3.686	13.298	4.758	2.607	4.345	4.479
"K13607"	1.273	0.703	0.096	0.605	0.469	0.399	0.944	0.956
"K13609"	3.695	2.086	0.281	1.383	2.802	1.814	2.974	16.547
"K13611"	9.62	10.696	1.743	10.221	11.667	4.026	8.988	20.462
"K13612"	1.458	3.09	0.993	3.147	1.828	1.188	1.777	4.057
"K13613"	2.344	2.937	0.714	2.515	2.72	1.231	2.196	3.029
"K13614"	9.679	14.18	4.209	7.267	15.637	6.739	12.434	13.948
"K13617"	3.295	0.582	0.314	0.509	0.372	0.44	0.276	1.094
"K13621"	0.577	0	0	0.465	0.282	0	0	0.225
"K13622"	19.019	10.04	2.452	1.511	4.983	5.866	7.454	17.052
"K13623"	17.029	5.416	0.409	8.332	3.354	2.362	3.023	7.112
"K13624"	0.467	0.053	0.045	0	0.094	0.06	0	0.342
"K13626"	13.151	45.937	6.694	9.992	9.776	10.2	13.774	14.892
"K13627"	0.077	0	1.238	0.256	0.116	0.073	0.189	0.107
"K13628"	161.024	106.907	16.229	102.948	79.127	53.84	105.318	86.073
"K13629"	0.176	0.073	0	0	0	0.115	0.757	0
"K13631"	0.25	0	0	1.458	0.238	0.172	0.323	0.265
"K13633"	74.876	27.613	9.371	19.466	16.058	15.566	26.368	16.909
"K13634"	70.151	32.207	5.752	19.081	31.591	20.211	44.298	37.788
